Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0100-1080K;51.45477 ;118.16269;749 m;Waypoint;;;;;;;;;;;;;;
0100-1100;51.45337 ;118.16618;751 m;Flag, Red;;;;;;;;;;;;;;
0100-1120;51.45243 ;118.16991;765 m;Flag, Red;;;;;;;;;;;;;;
0100-1140;51.45131 ;118.17126;766 m;Flag, Red;;;;;;;;;;;;;;
0100-1160;51.45041 ;118.17332;768 m;Flag, Red;;;;;;;;;;;;;;
0100-1180;51.44931 ;118.17597;770 m;Flag, Red;;;;;;;;;;;;;;
0100-1200;51.44859 ;118.17850;776 m;Flag, Red;;;;;;;;;;;;;;
0100-1220;51.44713 ;118.18074;783 m;Flag, Red;;;;;;;;;;;;;;
0100-1240;51.44616 ;118.18285;802 m;Flag, Red;;;;;;;;;;;;;;
0100-1260;51.44551 ;118.18575;792 m;Flag, Red;;;;;;;;;;;;;;
0100-1280;51.44479 ;118.18831;786 m;Flag, Red;;;;;;;;;;;;;;
0100-1300;51.44399 ;118.19114;788 m;Flag, Red;;;;;;;;;;;;;;
0100-1320;51.44303 ;118.19322;774 m;Flag, Red;;;;;;;;;;;;;;
0100-1340;51.44205 ;118.19561;765 m;Flag, Red;;;;;;;;;;;;;;
0100-1360;51.44122 ;118.19825;739 m;Flag, Red;;;;;;;;;;;;;;
0100-1380;51.44029 ;118.20081;729 m;Flag, Red;;;;;;;;;;;;;;
0100-1400;51.43936 ;118.20324;718 m;Flag, Red;;;;;;;;;;;;;;
0100-1420;51.43835 ;118.20550;715 m;Flag, Red;;;;;;;;;;;;;;
0100-1440;51.43745 ;118.20792;711 m;Flag, Red;;;;;;;;;;;;;;
0100-1460;51.43653 ;118.21050;716 m;Flag, Red;;;;;;;;;;;;;;
0100-1480;51.43555 ;118.21306;715 m;Flag, Green;;;;;;;;;;;;;;
0100-1500;51.43491 ;118.21515;713 m;Flag, Green;;;;;;;;;;;;;;
0100-1520;51.43448 ;118.21719;711 m;Flag, Green;;;;;;;;;;;;;;
0120-0060;51.50221 ;118.04058;748 m;Flag, Green;;;;;;;;;;;;;;
0120-0080;51.50144 ;118.04229;745 m;Flag, Green;;;;;;;;;;;;;;
0120-0100;51.50049 ;118.04536;743 m;Flag, Green;;;;;;;;;;;;;;
0120-0120;51.49963 ;118.04792;743 m;Flag, Green;;;;;;;;;;;;;;
0120-0140;51.49870 ;118.05007;740 m;Flag, Green;;;;;;;;;;;;;;
0120-0160;51.49792 ;118.05159;738 m;Flag, Green;;;;;;;;;;;;;;
0120-0180;51.49661 ;118.05362;741 m;Flag, Green;;;;;;;;;;;;;;
0120-0200;51.49622 ;118.05633;753 m;Flag, Green;;;;;;;;;;;;;;
0120-0220;51.49532 ;118.05883;767 m;Flag, Red;;;;;;;;;;;;;;
0120-0240;51.49424 ;118.06190;809 m;Flag, Red;;;;;;;;;;;;;;
0120-0260;51.49379 ;118.06477;776 m;Flag, Red;;;;;;;;;;;;;;
0120-0280;51.49277 ;118.06738;785 m;Flag, Red;;;;;;;;;;;;;;
0120-0300;51.49123 ;118.06961;828 m;Flag, Red;;;;;;;;;;;;;;
0120-0320;51.49045 ;118.07086;817 m;Flag, Red;;;;;;;;;;;;;;
0120-0340;51.48903 ;118.07366;819 m;Flag, Red;;;;;;;;;;;;;;
0120-0360;51.48851 ;118.07595;812 m;Flag, Red;;;;;;;;;;;;;;
0120-0380;51.48715 ;118.07881;801 m;Flag, Red;;;;;;;;;;;;;;
0120-0400;51.48670 ;118.08105;754 m;Flag, Red;;;;;;;;;;;;;;
0120-0420;51.48592 ;118.08358;740 m;Flag, Green;;;;;;;;;;;;;;
0120-0440;51.48508 ;118.08482;736 m;Flag, Green;;;;;;;;;;;;;;
0120-0460;51.48425 ;118.08890;756 m;Flag, Green;;;;;;;;;;;;;;
0120-0480;51.48348 ;118.09131;775 m;Flag, Red;;;;;;;;;;;;;;
0120-0500;51.48263 ;118.09363;808 m;Flag, Red;;;;;;;;;;;;;;
0120-0520;51.48172 ;118.09626;844 m;Flag, Red;;;;;;;;;;;;;;
0120-0540;51.48100 ;118.09832;884 m;Flag, Red;;;;;;;;;;;;;;
0120-0560;51.47989 ;118.10105;866 m;Flag, Red;;;;;;;;;;;;;;
0120-0580;51.47874 ;118.10335;823 m;Flag, Red;;;;;;;;;;;;;;
0120-0600;51.47787 ;118.10589;804 m;Flag, Red;;;;;;;;;;;;;;
0120-0620;51.47703 ;118.10822;777 m;Flag, Red;;;;;;;;;;;;;;
0120-0640;51.47570 ;118.11078;771 m;Flag, Red;;;;;;;;;;;;;;
0120-0660;51.47528 ;118.11324;779 m;Flag, Red;;;;;;;;;;;;;;
0120-0680;51.47419 ;118.11576;806 m;Flag, Red;;;;;;;;;;;;;;
0120-0700;51.47311 ;118.11806;774 m;Flag, Green;;;;;;;;;;;;;;
0120-0720;51.47201 ;118.12120;780 m;Flag, Green;;;;;;;;;;;;;;
0120-0740;51.47144 ;118.12277;780 m;Flag, Green;;;;;;;;;;;;;;
0120-0760;51.47047 ;118.12569;782 m;Flag, Green;;;;;;;;;;;;;;
0120-0780;51.47006 ;118.12737;775 m;Flag, Green;;;;;;;;;;;;;;
0120-0800;51.46866 ;118.13068;;Crossing;;;;;;;;;;;;;;
0120-0820;51.46773 ;118.13315;;Crossing;;;;;;;;;;;;;;
0120-0840;51.46614 ;118.13483;801 m;Flag, Red;;;;;;;;;;;;;;
0120-0860;51.46583 ;118.13674;817 m;Flag, Red;;;;;;;;;;;;;;
0120-0880;51.46419 ;118.14117;832 m;Flag, Red;;;;;;;;;;;;;;
0120-0900;51.46396 ;118.14222;808 m;Flag, Red;;;;;;;;;;;;;;
0120-0920;51.46235 ;118.14506;789 m;Flag, Red;;;;;;;;;;;;;;
0120-0940;51.46179 ;118.14685;783 m;Flag, Red;;;;;;;;;;;;;;
0120-0960;51.46082 ;118.15004;801 m;Flag, Red;;;;;;;;;;;;;;
0120-0960K;51.46082 ;118.15004;801 m;Waypoint;;;;;;;;;;;;;;
0120-0980;51.45999 ;118.15277;801 m;Flag, Red;;;;;;;;;;;;;;
0120-1000;51.45940 ;118.15524;787 m;Flag, Red;;;;;;;;;;;;;;
0120-1020;51.45853 ;118.15778;770 m;Flag, Red;;;;;;;;;;;;;;
0120-1020K;51.45853 ;118.15778;770 m;Waypoint;;;;;;;;;;;;;;
0120-1040;51.45749 ;118.16025;755 m;Flag, Red;;;;;;;;;;;;;;
0120-1060;51.45687 ;118.16241;751 m;Flag, Red;;;;;;;;;;;;;;
0120-1080;51.45641 ;118.16437;748 m;Flag, Red;;;;;;;;;;;;;;
0120-1080K;51.45641 ;118.16437;748 m;Waypoint;;;;;;;;;;;;;;
0120-1100;51.45464 ;118.16787;749 m;Flag, Red;;;;;;;;;;;;;;
0120-1120;51.45309 ;118.17076;757 m;Flag, Red;;;;;;;;;;;;;;
0120-1140;51.45304 ;118.17278;763 m;Flag, Red;;;;;;;;;;;;;;
0120-1160;51.45208 ;118.17513;767 m;Flag, Red;;;;;;;;;;;;;;
0120-1180;51.45106 ;118.17746;767 m;Flag, Red;;;;;;;;;;;;;;
0120-1200;51.45016 ;118.18024;775 m;Flag, Red;;;;;;;;;;;;;;
0120-1220;51.44948 ;118.18241;773 m;Flag, Red;;;;;;;;;;;;;;
0120-1240;51.44846 ;118.18508;790 m;Flag, Red;;;;;;;;;;;;;;
0120-1260;51.44724 ;118.18824;802 m;Flag, Red;;;;;;;;;;;;;;
0120-1280;51.44614 ;118.18903;802 m;Flag, Red;;;;;;;;;;;;;;
0120-1300;51.44520 ;118.19121;790 m;Flag, Red;;;;;;;;;;;;;;
0120-1320;51.44447 ;118.19491;761 m;Flag, Red;;;;;;;;;;;;;;
0120-1340;51.44375 ;118.19738;747 m;Flag, Red;;;;;;;;;;;;;;
0120-1360;51.44284 ;118.19979;737 m;Flag, Red;;;;;;;;;;;;;;
0120-1380;51.44205 ;118.20206;725 m;Flag, Red;;;;;;;;;;;;;;
0120-1400;51.44102 ;118.20482;727 m;Flag, Red;;;;;;;;;;;;;;
0120-1420;51.43991 ;118.20712;723 m;Flag, Red;;;;;;;;;;;;;;
0120-1440;51.43898 ;118.20955;730 m;Flag, Red;;;;;;;;;;;;;;
0120-1460;51.43806 ;118.21214;730 m;Flag, Red;;;;;;;;;;;;;;
0120-1480;51.43725 ;118.21452;729 m;Flag, Green;;;;;;;;;;;;;;
0120-1500;51.43627 ;118.21698;733 m;Flag, Green;;;;;;;;;;;;;;
0120-1520;51.43525 ;118.21814;720 m;Flag, Green;;;;;;;;;;;;;;
0140-0080;51.50323 ;118.04346;740 m;Flag, Green;;;;;;;;;;;;;;
0140-0100;51.50215 ;118.04577;744 m;Flag, Green;;;;;;;;;;;;;;
0140-0120;51.50176 ;118.04784;743 m;Flag, Green;;;;;;;;;;;;;;
0140-0140;51.50055 ;118.05076;741 m;Flag, Green;;;;;;;;;;;;;;
0140-0160;51.49945 ;118.05340;737 m;Flag, Green;;;;;;;;;;;;;;
0140-0180;51.49891 ;118.05561;739 m;Flag, Green;;;;;;;;;;;;;;
0140-0200;51.49752 ;118.05863;746 m;Flag, Red;;;;;;;;;;;;;;
0140-0220;51.49671 ;118.06075;795 m;Flag, Red;;;;;;;;;;;;;;
0140-0240;51.49614 ;118.06292;777 m;Flag, Red;;;;;;;;;;;;;;
0140-0260;51.49542 ;118.06462;764 m;Flag, Red;;;;;;;;;;;;;;
0140-0280;51.49435 ;118.06786;785 m;Flag, Red;;;;;;;;;;;;;;
0140-0300;51.49347 ;118.07036;808 m;Flag, Red;;;;;;;;;;;;;;
0140-0320;51.49231 ;118.07281;856 m;Flag, Red;;;;;;;;;;;;;;
0140-0340;51.49137 ;118.07534;807 m;Flag, Red;;;;;;;;;;;;;;
0140-0360;51.49050 ;118.07775;777 m;Flag, Red;;;;;;;;;;;;;;
0140-0380;51.48962 ;118.08047;760 m;Flag, Red;;;;;;;;;;;;;;
0140-0400;51.48876 ;118.08267;745 m;Flag, Red;;;;;;;;;;;;;;
0140-0420;51.48782 ;118.08538;738 m;Flag, Green;;;;;;;;;;;;;;
0140-0440;51.48693 ;118.08792;737 m;Flag, Green;;;;;;;;;;;;;;
0140-0460;51.48610 ;118.08947;738 m;Flag, Green;;;;;;;;;;;;;;
0140-0480;51.48489 ;118.09364;784 m;Flag, Red;;;;;;;;;;;;;;
0140-0500;51.48402 ;118.09595;822 m;Flag, Red;;;;;;;;;;;;;;
0140-0520;51.48346 ;118.09739;857 m;Flag, Red;;;;;;;;;;;;;;
0140-0540;51.48258 ;118.09957;883 m;Flag, Red;;;;;;;;;;;;;;
0140-0560;51.48133 ;118.10252;832 m;Flag, Red;;;;;;;;;;;;;;
0140-0580;51.48022 ;118.10460;808 m;Flag, Red;;;;;;;;;;;;;;
0140-0600;51.47938 ;118.10762;793 m;Flag, Red;;;;;;;;;;;;;;
0140-0620;51.47864 ;118.11039;774 m;Flag, Red;;;;;;;;;;;;;;
0140-0640;51.47774 ;118.11212;767 m;Flag, Red;;;;;;;;;;;;;;
0140-0660;51.47693 ;118.11465;772 m;Flag, Red;;;;;;;;;;;;;;
0140-0680;51.47547 ;118.11666;829 m;Flag, Red;;;;;;;;;;;;;;
0140-0700;51.47395 ;118.11992;808 m;Flag, Red;;;;;;;;;;;;;;
0140-0720;51.47350 ;118.12337;784 m;Flag, Red;;;;;;;;;;;;;;
0140-0740;51.47327 ;118.12567;770 m;Flag, Green;;;;;;;;;;;;;;
0140-0760;51.47236 ;118.12772;768 m;Flag, Green;;;;;;;;;;;;;;
0140-0780;51.47134 ;118.12992;771 m;Flag, Green;;;;;;;;;;;;;;
0140-0800;51.47020 ;118.13248;770 m;Flag, Green;;;;;;;;;;;;;;
0140-0820;51.46946 ;118.13470;766 m;Flag, Green;;;;;;;;;;;;;;
0140-0840;51.46880 ;118.13682;762 m;Flag, Green;;;;;;;;;;;;;;
0140-0860;51.46747 ;118.14096;770 m;Flag, Red;;;;;;;;;;;;;;
0140-0860K;51.46747 ;118.14096;770 m;Waypoint;;;;;;;;;;;;;;
0140-0880;51.46717 ;118.14141;774 m;Flag, Red;;;;;;;;;;;;;;
0140-0880K;51.46717 ;118.14141;774 m;Waypoint;;;;;;;;;;;;;;
0140-0900;51.46587 ;118.14582;767 m;Flag, Red;;;;;;;;;;;;;;
0140-0900K;51.46587 ;118.14582;767 m;Waypoint;;;;;;;;;;;;;;
0140-0920;51.46536 ;118.14783;770 m;Flag, Red;;;;;;;;;;;;;;
0140-0940;51.46418 ;118.15067;767 m;Flag, Red;;;;;;;;;;;;;;
0140-0960;51.46370 ;118.15198;772 m;Flag, Red;;;;;;;;;;;;;;
0140-0980;51.46209 ;118.15571;802 m;Flag, Red;;;;;;;;;;;;;;
0140-1000;51.46169 ;118.15691;799 m;Flag, Red;;;;;;;;;;;;;;
0140-1000K;51.46169 ;118.15691;799 m;Waypoint;;;;;;;;;;;;;;
0140-1020;51.46050 ;118.16054;769 m;Flag, Red;;;;;;;;;;;;;;
0140-1020K;51.46050 ;118.16054;769 m;Waypoint;;;;;;;;;;;;;;
0140-1040;51.45993 ;118.16188;764 m;Flag, Red;;;;;;;;;;;;;;
0140-1060;51.45842 ;118.16560;754 m;Flag, Red;;;;;;;;;;;;;;
0140-1080;51.45815 ;118.16685;752 m;Flag, Red;;;;;;;;;;;;;;
0140-1100;51.45558 ;118.16913;745 m;Flag, Red;;;;;;;;;;;;;;
0140-1120;51.45486 ;118.17267;741 m;Flag, Red;;;;;;;;;;;;;;
0140-1140;51.45429 ;118.17429;745 m;Flag, Red;;;;;;;;;;;;;;
0140-1160;51.45340 ;118.17711;748 m;Flag, Red;;;;;;;;;;;;;;
0140-1180;51.45274 ;118.17921;754 m;Flag, Red;;;;;;;;;;;;;;
0140-1200;51.45166 ;118.18184;761 m;Flag, Red;;;;;;;;;;;;;;
0140-1220;51.45111 ;118.18325;767 m;Flag, Red;;;;;;;;;;;;;;
0140-1240;51.44997 ;118.18660;782 m;Flag, Red;;;;;;;;;;;;;;
0140-1260;51.44895 ;118.18914;790 m;Flag, Red;;;;;;;;;;;;;;
0140-1280;51.44807 ;118.19121;777 m;Flag, Red;;;;;;;;;;;;;;
0140-1300;51.44706 ;118.19371;762 m;Flag, Red;;;;;;;;;;;;;;
0140-1320;51.44611 ;118.19617;750 m;Flag, Red;;;;;;;;;;;;;;
0140-1340;51.44524 ;118.19886;737 m;Flag, Red;;;;;;;;;;;;;;
0140-1360;51.44426 ;118.20111;729 m;Flag, Red;;;;;;;;;;;;;;
0140-1380;51.44338 ;118.20378;736 m;Flag, Red;;;;;;;;;;;;;;
0140-1400;51.44250 ;118.20617;743 m;Flag, Red;;;;;;;;;;;;;;
0140-1420;51.44158 ;118.20874;747 m;Flag, Red;;;;;;;;;;;;;;
0140-1440;51.44060 ;118.21104;749 m;Flag, Red;;;;;;;;;;;;;;
0140-1460;51.43950 ;118.21390;751 m;Flag, Red;;;;;;;;;;;;;;
0140-1480;51.43875 ;118.21589;752 m;Flag, Green;;;;;;;;;;;;;;
0140-1500;51.43796 ;118.21791;749 m;Flag, Green;;;;;;;;;;;;;;
0140-1520;51.43775 ;118.22062;737 m;Flag, Green;;;;;;;;;;;;;;
0160-0080;51.50479 ;118.04561;756 m;Flag, Green;;;;;;;;;;;;;;
0160-0100;51.50431 ;118.04747;757 m;Flag, Green;;;;;;;;;;;;;;
0160-0120;51.50353 ;118.04927;750 m;Flag, Green;;;;;;;;;;;;;;
0160-0140;51.50211 ;118.05179;746 m;Flag, Green;;;;;;;;;;;;;;
0160-0160;51.50130 ;118.05430;748 m;Flag, Green;;;;;;;;;;;;;;
0160-0180;51.50017 ;118.05705;742 m;Flag, Green;;;;;;;;;;;;;;
0160-0200;51.49962 ;118.05884;743 m;Flag, Green;;;;;;;;;;;;;;
0160-0220;51.49857 ;118.06206;741 m;Flag, Red;;;;;;;;;;;;;;
0160-0240;51.49737 ;118.06379;754 m;Flag, Red;;;;;;;;;;;;;;
0160-0260;51.49635 ;118.06741;772 m;Flag, Red;;;;;;;;;;;;;;
0160-0280;51.49578 ;118.06950;794 m;Flag, Red;;;;;;;;;;;;;;
0160-0300;51.49468 ;118.07170;841 m;Flag, Red;;;;;;;;;;;;;;
0160-0320;51.49398 ;118.07423;845 m;Flag, Red;;;;;;;;;;;;;;
0160-0340;51.49285 ;118.07684;799 m;Flag, Red;;;;;;;;;;;;;;
0160-0360;51.49210 ;118.07915;773 m;Flag, Red;;;;;;;;;;;;;;
0160-0380;51.49135 ;118.08230;757 m;Flag, Red;;;;;;;;;;;;;;
0160-0400;51.49054 ;118.08465;745 m;Flag, Red;;;;;;;;;;;;;;
0160-0420;51.48947 ;118.08661;734 m;Flag, Green;;;;;;;;;;;;;;
0160-0440;51.48850 ;118.08858;737 m;Flag, Green;;;;;;;;;;;;;;
0160-0460;51.48744 ;118.09098;743 m;Flag, Green;;;;;;;;;;;;;;
0160-0480;51.48582 ;118.09446;787 m;Flag, Red;;;;;;;;;;;;;;
0160-0500;51.48538 ;118.09647;807 m;Flag, Red;;;;;;;;;;;;;;
0160-0520;51.48491 ;118.09890;862 m;Flag, Red;;;;;;;;;;;;;;
0160-0540;51.48382 ;118.10145;882 m;Flag, Red;;;;;;;;;;;;;;
0160-0560;51.48271 ;118.10384;841 m;Flag, Red;;;;;;;;;;;;;;
0160-0580;51.48175 ;118.10627;813 m;Flag, Red;;;;;;;;;;;;;;
0160-0600;51.48113 ;118.10929;795 m;Flag, Red;;;;;;;;;;;;;;
0160-0620;51.48009 ;118.11145;782 m;Flag, Red;;;;;;;;;;;;;;
0160-0640;51.47916 ;118.11379;767 m;Flag, Red;;;;;;;;;;;;;;
0160-0660;51.47770 ;118.11660;758 m;Flag, Red;;;;;;;;;;;;;;
0160-0680;51.47693 ;118.11807;771 m;Flag, Red;;;;;;;;;;;;;;
0160-0700;51.47574 ;118.12047;811 m;Flag, Red;;;;;;;;;;;;;;
0160-0720;51.47556 ;118.12341;796 m;Flag, Red;;;;;;;;;;;;;;
0160-0740;51.47443 ;118.12605;791 m;Flag, Red;;;;;;;;;;;;;;
0160-0760;51.47372 ;118.12881;761 m;Flag, Red;;;;;;;;;;;;;;
0160-0780;51.47315 ;118.13205;752 m;Flag, Green;;;;;;;;;;;;;;
0160-0800;51.47185 ;118.13368;756 m;Flag, Green;;;;;;;;;;;;;;
0160-0820;51.47065 ;118.13561;757 m;Flag, Green;;;;;;;;;;;;;;
0160-0840;51.46975 ;118.13746;758 m;Flag, Green;;;;;;;;;;;;;;
0160-0860;51.46828 ;118.14187;757 m;Flag, Red;;;;;;;;;;;;;;
0160-0860K;51.46828 ;118.14187;757 m;Waypoint;;;;;;;;;;;;;;
0160-0880;51.46753 ;118.14374;761 m;Flag, Red;;;;;;;;;;;;;;
0160-0900;51.46668 ;118.14536;763 m;Flag, Red;;;;;;;;;;;;;;
0160-0920;51.46549 ;118.14923;769 m;Flag, Red;;;;;;;;;;;;;;
0160-0940;51.46517 ;118.15023;764 m;Flag, Red;;;;;;;;;;;;;;
0160-0940K;51.46517 ;118.15023;764 m;Waypoint;;;;;;;;;;;;;;
0160-0960;51.46448 ;118.15374;767 m;Flag, Red;;;;;;;;;;;;;;
0160-0960K;51.46448 ;118.15374;767 m;Waypoint;;;;;;;;;;;;;;
0160-0980;51.46268 ;118.15568;797 m;Flag, Red;;;;;;;;;;;;;;
0160-1000;51.46172 ;118.15879;791 m;Flag, Red;;;;;;;;;;;;;;
0160-1020;51.46101 ;118.15992;775 m;Flag, Red;;;;;;;;;;;;;;
0160-1040;51.45987 ;118.16364;756 m;Flag, Red;;;;;;;;;;;;;;
0160-1060;51.45917 ;118.16516;753 m;Flag, Red;;;;;;;;;;;;;;
0160-1060K;51.45917 ;118.16516;753 m;Waypoint;;;;;;;;;;;;;;
0160-1080;51.45885 ;118.16830;741 m;Flag, Red;;;;;;;;;;;;;;
0160-1080K;51.45885 ;118.16830;741 m;Waypoint;;;;;;;;;;;;;;
0160-1100;51.45781 ;118.17007;738 m;Flag, Red;;;;;;;;;;;;;;
0160-1120;51.45653 ;118.17400;739 m;Flag, Red;;;;;;;;;;;;;;
0160-1140;51.45578 ;118.17625;743 m;Flag, Red;;;;;;;;;;;;;;
0160-1160;51.45488 ;118.17902;752 m;Flag, Red;;;;;;;;;;;;;;
0160-1180;51.45364 ;118.18160;756 m;Flag, Red;;;;;;;;;;;;;;
0160-1200;51.45306 ;118.18340;761 m;Flag, Red;;;;;;;;;;;;;;
0160-1220;51.45230 ;118.18545;768 m;Flag, Red;;;;;;;;;;;;;;
0160-1240;51.45153 ;118.18809;786 m;Flag, Red;;;;;;;;;;;;;;
0160-1260;51.45054 ;118.19050;785 m;Flag, Red;;;;;;;;;;;;;;
0160-1280;51.44984 ;118.19264;768 m;Flag, Red;;;;;;;;;;;;;;
0160-1300;51.44865 ;118.19532;755 m;Flag, Red;;;;;;;;;;;;;;
0160-1320;51.44764 ;118.19778;743 m;Flag, Red;;;;;;;;;;;;;;
0160-1340;51.44671 ;118.20020;736 m;Flag, Red;;;;;;;;;;;;;;
0160-1360;51.44576 ;118.20277;740 m;Flag, Red;;;;;;;;;;;;;;
0160-1380;51.44499 ;118.20522;745 m;Flag, Red;;;;;;;;;;;;;;
0160-1400;51.44405 ;118.20777;747 m;Flag, Red;;;;;;;;;;;;;;
0160-1420;51.44314 ;118.21020;759 m;Flag, Red;;;;;;;;;;;;;;
0160-1440;51.44221 ;118.21250;769 m;Flag, Red;;;;;;;;;;;;;;
0160-1460;51.44138 ;118.21440;773 m;Flag, Red;;;;;;;;;;;;;;
0160-1480;51.43998 ;118.21661;769 m;Flag, Green;;;;;;;;;;;;;;
0160-1500;51.43895 ;118.21950;750 m;Flag, Green;;;;;;;;;;;;;;
0160-1520;51.43861 ;118.22116;729 m;Flag, Green;;;;;;;;;;;;;;
0180-0100;51.50539 ;118.04877;761 m;Flag, Green;;;;;;;;;;;;;;
0180-0120;51.50470 ;118.05092;757 m;Flag, Green;;;;;;;;;;;;;;
0180-0140;51.50387 ;118.05390;751 m;Flag, Green;;;;;;;;;;;;;;
0180-0160;51.50293 ;118.05663;739 m;Flag, Green;;;;;;;;;;;;;;
0180-0180;51.50214 ;118.05829;739 m;Flag, Green;;;;;;;;;;;;;;
0180-0200;51.50107 ;118.06040;736 m;Flag, Green;;;;;;;;;;;;;;
0180-0220;51.50018 ;118.06346;735 m;Flag, Green;;;;;;;;;;;;;;
0180-0240;51.49880 ;118.06579;752 m;Flag, Green;;;;;;;;;;;;;;
0180-0260;51.49821 ;118.06850;793 m;Civil;;;;;;;;;;;;;;
0180-0280;51.49724 ;118.07107;831 m;Civil;;;;;;;;;;;;;;
0180-0300;51.49582 ;118.07335;870 m;Civil;;;;;;;;;;;;;;
0180-0320;51.49542 ;118.07578;835 m;Civil;;;;;;;;;;;;;;
0180-0340;51.49424 ;118.07873;805 m;Flag, Red;;;;;;;;;;;;;;
0180-0360;51.49341 ;118.08076;799 m;Flag, Red;;;;;;;;;;;;;;
0180-0380;51.49260 ;118.08311;766 m;Flag, Red;;;;;;;;;;;;;;
0180-0400;51.49169 ;118.08562;748 m;Flag, Red;;;;;;;;;;;;;;
0180-0420;51.49085 ;118.08801;735 m;Flag, Green;;;;;;;;;;;;;;
0180-0440;51.48984 ;118.09053;736 m;Flag, Green;;;;;;;;;;;;;;
0180-0460;51.48914 ;118.09255;741 m;Flag, Green;;;;;;;;;;;;;;
0180-0480;51.48805 ;118.09560;786 m;Flag, Red;;;;;;;;;;;;;;
0180-0500;51.48695 ;118.09774;820 m;Flag, Red;;;;;;;;;;;;;;
0180-0520;51.48627 ;118.10035;884 m;Flag, Red;;;;;;;;;;;;;;
0180-0540;51.48530 ;118.10280;891 m;Flag, Red;;;;;;;;;;;;;;
0180-0560;51.48426 ;118.10561;840 m;Flag, Red;;;;;;;;;;;;;;
0180-0580;51.48323 ;118.10817;817 m;Flag, Red;;;;;;;;;;;;;;
0180-0600;51.48249 ;118.11041;795 m;Flag, Red;;;;;;;;;;;;;;
0180-0620;51.48181 ;118.11267;774 m;Flag, Red;;;;;;;;;;;;;;
0180-0640;51.48073 ;118.11672;747 m;Flag, Red;;;;;;;;;;;;;;
0180-0660;51.47968 ;118.11829;754 m;Flag, Red;;;;;;;;;;;;;;
0180-0680;51.47912 ;118.11965;759 m;Civil;;;;;;;;;;;;;;
0180-0700;51.47820 ;118.12209;821 m;Civil;;;;;;;;;;;;;;
0180-0720;51.47737 ;118.12489;842 m;Civil;;;;;;;;;;;;;;
0180-0740;51.47618 ;118.12758;808 m;Civil;;;;;;;;;;;;;;
0180-0760;51.47537 ;118.13058;813 m;Civil;;;;;;;;;;;;;;
0180-0780;51.47444 ;118.13388;766 m;Flag, Green;;;;;;;;;;;;;;
0180-0800;51.47367 ;118.13514;758 m;Flag, Green;;;;;;;;;;;;;;
0180-0820;51.47230 ;118.13781;754 m;Flag, Green;;;;;;;;;;;;;;
0180-0840;51.47152 ;118.14007;755 m;Flag, Green;;;;;;;;;;;;;;
0180-0860;51.47047 ;118.14269;755 m;Flag, Green;;;;;;;;;;;;;;
0180-0880;51.46941 ;118.14567;757 m;Flag, Red;;;;;;;;;;;;;;
0180-0900;51.46864 ;118.14780;757 m;Flag, Red;;;;;;;;;;;;;;
0180-0920;51.46777 ;118.15048;757 m;Flag, Red;;;;;;;;;;;;;;
0180-0940;51.46676 ;118.15261;758 m;Flag, Red;;;;;;;;;;;;;;
0180-0960;51.46576 ;118.15502;763 m;Flag, Red;;;;;;;;;;;;;;
0180-0980;51.46487 ;118.15753;782 m;Flag, Red;;;;;;;;;;;;;;
0180-1000;51.46383 ;118.15993;793 m;Flag, Red;;;;;;;;;;;;;;
0180-1020;51.46310 ;118.16318;770 m;Flag, Red;;;;;;;;;;;;;;
0180-1040;51.46214 ;118.16585;756 m;Flag, Red;;;;;;;;;;;;;;
0180-1060;51.46159 ;118.16727;754 m;Flag, Red;;;;;;;;;;;;;;
0180-1080;51.46059 ;118.16945;740 m;Flag, Red;;;;;;;;;;;;;;
0180-1100;51.45884 ;118.17133;735 m;Flag, Red;;;;;;;;;;;;;;
0180-1120;51.45849 ;118.17534;736 m;Flag, Red;;;;;;;;;;;;;;
0180-1140;51.45757 ;118.17715;740 m;Flag, Red;;;;;;;;;;;;;;
0180-1160;51.45665 ;118.17955;747 m;Flag, Red;;;;;;;;;;;;;;
0180-1180;51.45582 ;118.18213;754 m;Flag, Red;;;;;;;;;;;;;;
0180-1200;51.45477 ;118.18450;760 m;Flag, Red;;;;;;;;;;;;;;
0180-1220;51.45386 ;118.18696;772 m;Flag, Red;;;;;;;;;;;;;;
0180-1240;51.45293 ;118.18938;789 m;Flag, Red;;;;;;;;;;;;;;
0180-1260;51.45202 ;118.19189;789 m;Flag, Red;;;;;;;;;;;;;;
0180-1280;51.45110 ;118.19432;772 m;Flag, Red;;;;;;;;;;;;;;
0180-1300;51.45019 ;118.19682;757 m;Flag, Red;;;;;;;;;;;;;;
0180-1320;51.44927 ;118.19926;758 m;Flag, Red;;;;;;;;;;;;;;
0180-1340;51.44839 ;118.20170;761 m;Flag, Red;;;;;;;;;;;;;;
0180-1360;51.44749 ;118.20421;761 m;Flag, Red;;;;;;;;;;;;;;
0180-1380;51.44651 ;118.20667;761 m;Flag, Red;;;;;;;;;;;;;;
0180-1400;51.44556 ;118.20908;760 m;Flag, Red;;;;;;;;;;;;;;
0180-1420;51.44463 ;118.21164;769 m;Flag, Red;;;;;;;;;;;;;;
0180-1440;51.44383 ;118.21402;766 m;Flag, Red;;;;;;;;;;;;;;
0180-1460;51.44272 ;118.21662;764 m;Flag, Red;;;;;;;;;;;;;;
