Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0080-1440;51.43599 ;118.20662;717 m;Flag, Red;;;;;;;;;;;;;;
0080-1460;51.43517 ;118.20921;706 m;Flag, Red;;;;;;;;;;;;;;
0080-1480;51.43420 ;118.21164;700 m;Flag, Green;;;;;;;;;;;;;;
0080-1500;51.43319 ;118.21441;698 m;Flag, Green;;;;;;;;;;;;;;
0080-1520;51.43254 ;118.21579;689 m;Flag, Green;;;;;;;;;;;;;;
0100-0060;51.50041 ;118.03818;752 m;Flag, Green;;;;;;;;;;;;;;
0100-0080;51.50028 ;118.03986;755 m;Flag, Green;;;;;;;;;;;;;;
0100-0100;51.49984 ;118.04310;755 m;Flag, Green;;;;;;;;;;;;;;
0100-0120;51.49932 ;118.04529;747 m;Flag, Green;;;;;;;;;;;;;;
0100-0140;51.49839 ;118.04740;742 m;Flag, Green;;;;;;;;;;;;;;
0100-0160;51.49699 ;118.05053;755 m;Flag, Green;;;;;;;;;;;;;;
0100-0180;51.49593 ;118.05198;753 m;Flag, Green;;;;;;;;;;;;;;
0100-0200;51.49483 ;118.05457;757 m;Flag, Green;;;;;;;;;;;;;;
0100-0220;51.49396 ;118.05659;793 m;Flag, Red;;;;;;;;;;;;;;
0100-0240;51.49318 ;118.05996;793 m;Flag, Red;;;;;;;;;;;;;;
0100-0260;51.49223 ;118.06247;828 m;Flag, Red;;;;;;;;;;;;;;
0100-0280;51.49105 ;118.06429;809 m;Flag, Red;;;;;;;;;;;;;;
0100-0300;51.49061 ;118.06632;818 m;Flag, Red;;;;;;;;;;;;;;
0100-0320;51.48882 ;118.06899;811 m;Flag, Red;;;;;;;;;;;;;;
0100-0340;51.48781 ;118.07206;787 m;Flag, Red;;;;;;;;;;;;;;
0100-0360;51.48691 ;118.07462;783 m;Flag, Red;;;;;;;;;;;;;;
0100-0380;51.48635 ;118.07711;776 m;Flag, Red;;;;;;;;;;;;;;
0100-0400;51.48585 ;118.07991;750 m;Flag, Red;;;;;;;;;;;;;;
0100-0420;51.48468 ;118.08225;745 m;Flag, Green;;;;;;;;;;;;;;
0100-0440;51.48423 ;118.08341;742 m;Flag, Green;;;;;;;;;;;;;;
0100-0460;51.48281 ;118.08765;743 m;Flag, Green;;;;;;;;;;;;;;
0100-0480;51.48188 ;118.08958;764 m;Flag, Green;;;;;;;;;;;;;;
0100-0500;51.48094 ;118.09185;787 m;Flag, Red;;;;;;;;;;;;;;
0100-0520;51.47973 ;118.09548;857 m;Flag, Red;;;;;;;;;;;;;;
0100-0540;51.47911 ;118.09750;851 m;Flag, Red;;;;;;;;;;;;;;
0100-0560;51.47808 ;118.09950;857 m;Flag, Red;;;;;;;;;;;;;;
0100-0580;51.47726 ;118.10203;823 m;Flag, Red;;;;;;;;;;;;;;
0100-0600;51.47649 ;118.10430;804 m;Flag, Red;;;;;;;;;;;;;;
0100-0620;51.47508 ;118.10677;791 m;Flag, Red;;;;;;;;;;;;;;
0100-0640;51.47416 ;118.11000;802 m;Flag, Red;;;;;;;;;;;;;;
0100-0660;51.47352 ;118.11217;808 m;Flag, Red;;;;;;;;;;;;;;
0100-0680;51.47250 ;118.11459;807 m;Flag, Green;;;;;;;;;;;;;;
0100-0700;51.47186 ;118.11671;779 m;Flag, Green;;;;;;;;;;;;;;
0100-0720;51.47069 ;118.11974;780 m;Flag, Green;;;;;;;;;;;;;;
0100-0740;51.47009 ;118.12162;782 m;Flag, Green;;;;;;;;;;;;;;
0100-0760;51.46857 ;118.12516;783 m;Flag, Green;;;;;;;;;;;;;;
0100-0780;51.46741 ;118.12701;781 m;Flag, Green;;;;;;;;;;;;;;
0100-0800;51.46694 ;118.12920;780 m;Flag, Red;;;;;;;;;;;;;;
0100-0820;51.46655 ;118.13060;789 m;Flag, Red;;;;;;;;;;;;;;
0100-0840;51.46504 ;118.13382;812 m;Flag, Red;;;;;;;;;;;;;;
0100-0860;51.46467 ;118.13655;843 m;Flag, Red;;;;;;;;;;;;;;
0100-0880;51.46341 ;118.13955;830 m;Flag, Red;;;;;;;;;;;;;;
0100-0900;51.46251 ;118.14125;801 m;Flag, Red;;;;;;;;;;;;;;
0100-0920;51.46174 ;118.14355;798 m;Flag, Red;;;;;;;;;;;;;;
0100-0940;51.46072 ;118.14589;786 m;Flag, Red;;;;;;;;;;;;;;
0100-0960;51.45893 ;118.14948;825 m;Flag, Red;;;;;;;;;;;;;;
0100-0960K;51.45893 ;118.14948;825 m;Waypoint;;;;;;;;;;;;;;
0100-0980;51.45849 ;118.15141;814 m;Flag, Red;;;;;;;;;;;;;;
0100-1000;51.45794 ;118.15385;800 m;Flag, Red;;;;;;;;;;;;;;
0100-1020;51.45704 ;118.15646;774 m;Flag, Red;;;;;;;;;;;;;;
0100-1020K;51.45704 ;118.15646;774 m;Waypoint;;;;;;;;;;;;;;
0100-1040;51.45602 ;118.15881;761 m;Flag, Red;;;;;;;;;;;;;;
0100-1060;51.45518 ;118.16114;753 m;Flag, Red;;;;;;;;;;;;;;
0100-1080;51.45477 ;118.16269;749 m;Flag, Red;;;;;;;;;;;;;;
